,ds,yhat,yhat_lower,yhat_upper
319,2018-11-16,2966.65523056072,-2746.952797299674,8433.097687732195
320,2018-11-17,2945.179094572588,-2530.3069514003764,8633.510601128217
321,2018-11-18,2852.2763101578494,-2608.4739375996437,8274.897382033008
322,2018-11-19,2835.0956530260046,-2822.707538740546,8210.144999528913
323,2018-11-20,2731.25903454555,-2794.7348541703054,8283.344230924658
324,2018-11-21,2734.039840951533,-2542.8513578844636,8091.061783702182
325,2018-11-22,2618.9511864311226,-2623.713368113135,7896.00208722724
326,2018-11-23,2633.158636197528,-2910.4236163003775,8115.712042575816
327,2018-11-24,2572.1839118438493,-3077.191668910134,8162.764482894523
328,2018-11-25,2432.217671485254,-3088.5518820464754,7536.492740771419
329,2018-11-26,2361.184675945766,-3534.2907582406524,7972.213451050115
330,2018-11-27,2197.814059086302,-2797.786829654823,7816.034552282648
331,2018-11-28,2136.8052037191137,-3075.776867654975,7406.179770416724
332,2018-11-29,1955.3931616186164,-3412.277847642156,6969.755908342184
333,2018-11-30,1902.728444211647,-3334.3500006713284,7725.662455943624
334,2018-12-01,1776.5382688787085,-3641.010044096543,7161.9427415937
335,2018-12-02,1575.3882196757459,-4157.617506854907,6594.417131525885
336,2018-12-03,1449.6887765617048,-3775.7235567489947,6879.956653463569
337,2018-12-04,1240.7008252259548,-4170.423506614405,6625.009277623256
338,2018-12-05,1145.6322609879226,-3899.418701766092,6668.5707821704445
339,2018-12-06,944.131415305128,-4286.477494273197,6366.439754733251
340,2018-12-07,887.594053554616,-4654.093173021726,6357.348364567969
341,2018-12-08,775.7530324444906,-4659.405577576488,6006.629124837344
342,2018-12-09,608.8716065736407,-4912.457303737112,5830.595509808425
343,2018-12-10,538.6868401904394,-4970.688555989656,5884.501267030058
344,2018-12-11,407.3591530775193,-5386.184695927538,6191.454142189385
345,2018-12-12,412.5218905183847,-5287.210547048644,5738.720350325653
346,2018-12-13,333.7382295243897,-5364.10331066291,5524.515276364005
347,2018-12-14,421.78351262207434,-4863.7314432387675,5738.356645049732
348,2018-12-15,475.22315660748245,-4512.044165906324,5935.123499141446
349,2018-12-16,492.6078609950964,-5066.634992888402,5688.328852976055
350,2018-12-17,623.4329891295038,-5441.089900576939,5812.929389147336
351,2018-12-18,707.1181317902556,-4451.470220625834,6123.399829314007
352,2018-12-19,938.1004445056442,-4213.61242699406,6513.363096416908
353,2018-12-20,1092.3483282227608,-4164.520470958188,6191.956038922135
354,2018-12-21,1416.712468731037,-4088.066587882817,6542.445616411734
355,2018-12-22,1705.5829612292,-4063.6477450491857,7016.230648252116
356,2018-12-23,1953.172518946756,-3463.7591416115088,7330.907253411735
357,2018-12-24,2304.570614902219,-2884.025673574987,7578.530063512283
358,2018-12-25,2594.8223915558992,-2801.27560005141,8065.941348792224
359,2018-12-26,3014.123492547229,-2352.970275915562,8771.22872540795
360,2018-12-27,3334.434912306324,-2636.444161571673,8624.575748635682
361,2018-12-28,3798.9323328395812,-1862.7239735814196,9669.945772748817
362,2018-12-29,4198.7561546605875,-1168.4570799922235,10029.652387264392
