timestamp,Open,High,Low,Close,Volume
2018-12-13,24.09333333333333,24.879,22.64,23.045250000000006,635323.1417328268
2018-12-14,23.0478,24.109,22.17,23.39925,756893.4816894241
2018-12-15,23.31966666666667,24.6,22.86,23.4775,685277.8912564272
2018-12-16,23.658,27.581,23.32,25.5116,1811853.7831731413
2018-12-17,25.463,31.431,25.13,29.07333333333333,2344979.980041612
2018-12-18,29.06166666666667,31.149,27.39,30.22975,1270226.3219234059
2018-12-19,30.173,33.034,28.51,29.1225,1939670.4066410218
2018-12-20,29.097166666666663,34.259,28.52,32.51083333333333,2007950.5255110795
2018-12-21,32.49,34.2,29.55,30.52625,1444121.9302184165
2018-12-22,30.4826,32.9,29.69,31.7466,661828.8414383229
2018-12-23,31.737,34.998000000000005,31.09,33.00666666666666,1176826.1076153966
2018-12-24,33.23833333333334,37.687,32.17,33.0512,1866692.1241489297
2018-12-25,33.00983333333333,33.919000000000004,29.0,30.92675,1311785.782271341
2018-12-26,30.8958,33.056999999999995,28.76,30.366666666666664,1014664.0151438084
2018-12-27,30.6174,32.207,27.1,27.60333333333333,895523.8636569731
2018-12-28,27.88975,34.95,27.39,32.2836,1314579.4706206159
2018-12-29,32.2794,34.671,29.91,30.676666666666662,1002539.1211316657
2018-12-30,30.681,33.176,29.68,31.44333333333333,700008.0481738617
2018-12-31,31.7664,32.937,29.4,30.13525,572480.4632263378
2019-01-01,30.0844,33.339,29.11,31.88975,558111.1358974433
2019-01-02,31.8754,35.0,31.07,33.1018,656730.740025408
2019-01-03,33.118,34.427,30.62,31.7775,500656.9372722998
2019-01-04,31.734,33.888000000000005,30.74,32.16375,620441.1346642517
2019-01-05,32.1345,37.452,31.76,34.6875,1785630.7082310116
2019-01-06,34.65480000000001,41.4,33.89,38.8922,2891645.314795859
2019-01-07,38.89983333333333,40.972,36.53,37.5,1487407.8343327076
2019-01-08,37.7222,42.229,36.91,39.18475,2031671.948322725
2019-01-09,39.163,41.3,37.98,38.5478,1129901.1445085646
2019-01-10,38.5418,40.109,31.0,33.216750000000005,2420907.9148882492
2019-01-11,33.224000000000004,34.398,29.68,31.823500000000006,1382003.3078037507
2019-01-12,31.8106,33.118,31.07,31.78333333333333,647165.1936533495
2019-01-13,31.994000000000003,33.852,29.12,29.9,1092879.7414353911
2019-01-14,29.9138,33.7,29.38,32.0695,1014338.7339134841
2019-01-15,32.0774,33.342,29.95,31.03225,904786.3400521224
2019-01-16,31.0168,32.724000000000004,30.47,31.325,630242.100957091
2019-01-17,31.507,32.408,29.8,31.6865,849921.2538484606
2019-01-18,31.6798,32.405,30.31,30.83,501279.56996477995
2019-01-19,30.99116666666667,34.25,30.77,32.27725,746223.5662887733
2019-01-20,32.23383333333334,33.839,28.45,30.61666666666667,1039638.1249721502
2019-01-21,30.688,31.634,30.34,30.9296,493363.6753834114
2019-01-22,30.924500000000005,32.663000000000004,29.26,31.426666666666662,925798.5313315465
2019-01-23,31.556,32.85,31.24,31.66,577699.8859372232
2019-01-24,31.79,33.85,30.89,32.49333333333333,633725.8716798726
2019-01-25,32.656800000000004,33.684,31.84,32.834,679454.9929120978
2019-01-26,32.77133333333334,34.725,32.51,32.755,742531.0817199684
